protein name	cluster
MAPRE3	161
MAPRE2	161
MAPRE1	161
CCSER1	161
SPDYE2B	161
SPDYE2	161
MARCHF7	161
TRAIP	161
KNSTRN	161
TROAP	161
C20orf202	161
ZNF653	161
REL	162
DHPS	162
BCL2L15	162
FAM217B	162
RBP1	162
MORN5	162
TRIM8	162
POLR2G	162
TDO2	162
POMC	162
EIF5A2	162
ACOT8	162
IGF1	163
MESD	163
ZNF844	163
C17orf75	163
TEX48	163
ZNF441	163
H2BC15	163
KCNIP4	163
ATP6V1G1	163
ATP6V1E2	163
H2AB3	163
H2AB2	163
H2BC13	163
PER2	164
WWTR1	164
TEAD2	164
C1orf74	164
TEAD1	164
TRIM3	164
PER1	164
SIRPA	164
ZNF618	164
TRIM2	164
LRRC8E	164
CSNK1E	164
TPTEP2-CSNK1E	164
PCDHB14	165
RASD1	165
HNRNPK	165
RBMY1F	165
RBMY1J	165
RBMX	165
RBM3	165
RBMY1A1	165
YTHDC1	165
TYK2	165
APOBEC3C	165
PRR3	165
RBMY1E	165
KRTAP19-4	166
GPSM3	166
SPATA12	166
YWHAZ	166
C10orf82	166
CIDEC	166
PRR5	166
COA7	166
STXBP5L	166
IVD	166
NR0B2	166
RIPK4	166
HIGD2B	166
CHERP	167
C1orf50	167
ESRRG	167
ESRRA	167
RARB	167
PPARGC1A	167
TOP3B	167
FASTK	167
NR5A1	167
NR0B1	167
SHTN1	167
FAM107A	167
NRIP1	167
GOLGA6L9	168
CDR2L	168
LDOC1	168
DUSP26	168
CEP72	168
UBL4B	168
ZNF80	168
NXT2	168
ZNF557	168
ZSCAN26	168
MRPL38	168
JMY	168
ZNF230	168
HOXA1	169
OTX1	169
CATSPER1	169
CREB5	169
ATF2	169
RTN4R	169
HR	169
EGFL7	169
AMMECR1	169
LGALS13	169
AL365205.1	169
FST	169
PRICKLE4	169
POU2F1	170
HIVEP1	170
POU6F2	170
ISX	170
MLLT10	170
HNF1B	170
KDF1	170
SOX10	170
SSUH2	170
VAX2	170
PPIP5K2	170
EBF1	170
KLHL11	170
SRSF3	171
TRA2B	171
SRSF10	171
RNPS1	171
ZNF660	171
ZNF286A	171
AC005324.3	171
XPOT	171
TRA2A	171
SRSF9	171
ZNF394	171
ZNF41	171
ZNF345	171
LCN1	172
FAM25A	172
FAM25G	172
FAM25C	172
KLHL35	172
ARMC10	172
ARMCX3	172
PPIC	172
TOMM20L	172
IGLL1	172
COX16	172
ZFAND3	172
GPD1	172
S100A6	172
HMOX1	173
ERG28	173
HMOX2	173
C1GALT1	173
RTP2	173
LCP2	173
ELOVL6	173
TMEM187	173
SCAMP4	173
VAMP4	173
TMEM267	173
VAMP1	173
FIS1	173
ABHD6	173
TLK2	174
ZMYM5	174
LUZP4	174
DDX39B	174
UBE2I	174
DDX39A	174
ZNRD2	174
AKAP17A	174
CHTOP	174
CBS	174
CBSL	174
ZCCHC7	174
CHMP4B	174
CHMP4A	174
CLDN11	175
SHISA3	175
MAL	175
DOLK	175
TMEM190	175
SLC35B2	175
CLDN22	175
CLDN14	175
KCNA1	175
KCNA10	175
RAMP1	175
BTN2A1	175
CLDN20	175
CLEC4C	175
CXADR	175
VCX2	176
C1orf35	176
C4orf45	176
NKAPD1	176
SREK1IP1	176
RP9	176
ARL6IP4	176
RNF151	176
SREK1	176
FAM133A	176
PRPF40A	176
MACROH2A1	176
RPS25	176
KRCC1	176
NKAPL	176
MAN2B2	177
APPBP2	177
SNX5	177
MUL1	177
TRMT2A	177
HGFAC	177
LANCL2	177
AK3	177
MLLT3	177
GCSAM	177
PPIL6	177
CLCN1	177
SIAH1	177
BIVM	177
PRDM5	177
PLEKHF2	178
MRI1	178
CHRDL2	178
FAH	178
RPS21	178
THG1L	178
GAGE12G	178
GAGE12F	178
C3	178
EXOC3L2	178
PSMB5	178
SPEF1	178
SCYL1	178
RASGEF1B	178
MIDN	178
ABCG4	178
INCA1	179
NGLY1	179
NUDT16L1	179
KIF16B	179
GSTO2	179
FAM86C1P	179
THRSP	179
TRIM68	179
LGALS3	179
ZNF32	179
C1orf56	179
KIR2DL4	179
DOK4	179
PSMB2	179
MAGED4B	179
ASPSCR1	179
RABAC1	180
REEP6	180
M6PR	180
DUSP12	180
CCNH	180
SELENOK	180
IFNGR1	180
STIM1	180
GOLT1B	180
SNX10	180
EI24	180
ZFYVE21	180
SNX8	180
SH3GL3	180
SLAMF6	180
C6orf47	180
MEST	180
FEM1A	181
GORASP2	181
MSANTD4	181
SHMT1	181
APIP	181
CRYAA	181
CRYAA2	181
ASMTL	181
C21orf91	181
ETHE1	181
OAZ3	181
XPNPEP1	181
CRYAB	181
ODC1	181
GNGT1	181
RBM46	181
RAB39A	181
CIDEB	182
RHBDD2	182
MAOB	182
NAALAD2	182
TIMM17B	182
GCSH	182
MPC2	182
MICOS13	182
TEX44	182
HOXD12	182
FGF14	182
FOXD4L3	182
TAOK2	182
CAND2	182
MTERF4	182
SDHAF1	182
ARL8B	182
MICOS10	182
TM4SF4	183
SLC39A1	183
CXCL16	183
TRARG1	183
AQP12B	183
NPFFR2	183
CXCR1	183
WFS1	183
TMEM69	183
SLCO3A1	183
DERL3	183
RTP4	183
SLC1A5	183
CLDN8	183
TAS2R10	183
TMEM71	183
APH1B	183
LY6E	183
CD300E	183
BANP	184
QRICH1	184
NRF1	184
MVP	184
ZNF143	184
LIN54	184
STOX1	184
PSMB8	184
PANX2	184
SRARP	184
TNXB	184
BEND2	184
HHIPL1	184
HEYL	184
PHF21A	184
RHOQ	184
SP3	184
FLOT1	184
RHNO1	184
KRT31	185
KRT33B	185
KRT15	185
KRT39	185
KRT35	185
KRT40	185
KRT19	185
KRT36	185
KRT20	185
VPS28	185
KRT38	185
KRT37	185
KRT16	185
KRT14	185
KRT18	185
SLC25A42	185
KRT73	185
KRT77	185
KRT26	185
KRT28	185
KRT25	185
MDFI	186
RNF111	186
FOXD4	186
BOLL	186
TBC1D3G	186
TBC1D3B	186
PSMD2	186
MAGEA8	186
ZNF784	186
TSPYL1	186
ZNF12	186
C8orf48	186
ZNF613	186
ZNF223	186
CIB4	186
ZNF479	186
ZNF221	186
SELENOM	186
ZNF155	186
KIAA0040	186
DCANP1	186
ABI2	187
RASAL3	187
ZMAT1	187
C4orf17	187
AARD	187
INSYN1	187
ABI1	187
NUP58	187
MED29	187
SNAP91	187
DCTN2	187
BLOC1S5	187
FBXL19	187
VARS2	187
CCDC74B	187
ZNF785	187
COG3	187
SH3BP1	187
SLA	187
WASF3	187
TPM2	187
ABL2	187
SDCBP	188
UBE2R2	188
ZCCHC10	188
LZTFL1	188
NADK	188
DACH1	188
ZNF17	188
SEPTIN3	188
PSME2	188
EXOSC4	188
LGALS2	188
LURAP1L	188
MOB1A	188
GKAP1	188
SLC50A1	188
SDC3	188
ZFP41	188
AC138696.1	188
KCNJ2	188
CT45A3	188
CT45A10	188
PSMB3	188
USF1	189
LGALSL	189
DDIT4L	189
PCBP3	189
TBC1D1	189
BANF2	189
NSMF	189
LRMDA	189
PPP3R2	189
BCL2L14	189
SSBP3	189
AK8	189
PINX1	189
ZNF280A	189
CAMTA2	189
RAB32	189
MED18	189
EMSY	189
AFMID	189
MAP3K7CL	189
PMVK	189
NR2C2AP	189
AOC1	190
DAZAP2	190
FAM168A	190
BHLHE40	190
OTUD7B	190
RNF216	190
USP5	190
TRAF6	190
CDIP1	190
SUSD6	190
PLEKHB2	190
EPN3	190
RPS27A	190
LITAF	190
TRIM26	190
OTULIN	190
UBA52	190
HSFY2	190
HSFY1	190
C1orf94	190
SPART	190
MKRN1	190
HEY1	190
BET1	191
SEC22A	191
TMEM65	191
TMEM243	191
C16orf54	191
EDDM3B	191
PGA4	191
VAMP3	191
LRP10	191
FRMD8	191
PLN	191
PACC1	191
CLDN4	191
ITM2A	191
TMED9	191
MOSPD3	191
TMEM222	191
CD207	191
CD72	191
MS4A14	191
TMPRSS4	191
GRAMD2B	191
FUT3	191
LPAR6	191
TCF4	192
TCF23	192
ID3	192
PDZD4	192
ASCL4	192
BCL11A	192
SCX	192
TCF3	192
HAND1	192
ID1	192
ASCL3	192
TWIST2	192
TCF12	192
MSC	192
MYOD1	192
ASAP3	192
ID2	192
TTF2	192
MYF5	192
FERD3L	192
NEUROG3	192
FIGLA	192
NHLH2	192
TCF21	192
NFAM1	192
PRR20B	193
PRR20A	193
PRR20D	193
PRR20C	193
PRR20E	193
MIEN1	193
SP4	193
FOXP3	193
ZMYM6	193
RBM47	193
NOTCH3	193
MBNL3	193
CREM	193
PRR34	193
RBM23	193
CELF4	193
TPRX1	193
ESRP1	193
PTTG2	193
TBX3	193
ZNF683	193
ZCCHC14	193
ZNF385C	193
RBM42	193
ANKHD1	193
SGTA	194
SGTB	194
GUCA1A	194
C1QTNF5	194
C1QTNF1	194
UBL4A	194
FGF21	194
BTC	194
SHISA5	194
NDUFA12	194
HIGD1C	194
ERP27	194
SDC4	194
TNFRSF19	194
SYT4	194
C1QTNF6	194
IL6ST	194
MRAP2	194
ETNK1	194
CYB5R1	194
SMIM14	194
RNASE10	194
SRL	194
PRB4	194
KCNIP3	194
EVA1A	194
IL7R	194
SLC51B	194
ZNF263	195
SCAND1	195
ZSCAN22	195
WIPF1	195
ZSCAN9	195
