protein name	cluster
TBX6	207
SEPSECS	207
TENT2	207
PRR32	207
BOLA2-SMG1P6	207
FYN	208
ERRFI1	208
VAV3	208
GAB2	208
GRB2	208
TYRO3	208
SH2B1	208
ALDH18A1	209
SYCE1L	209
ANKRD36	209
TRAPPC13	209
KCNIP2	209
EPC1	209
SPHKAP	209
HCCS	210
SNX1	210
SENP2	210
SNX6	210
COQ3	210
CCDC148	210
ARMC12	210
SNX2	210
MCC	211
KIF3C	211
EID2B	211
CFAP58	211
DNAAF4	211
SLTM	211
PCCA	211
MAGEE1	211
SYPL1	212
ARFGAP3	212
RTN4IP1	212
GGA2	212
SORBS1	212
SMURF2	212
ERMN	212
PYM1	212
SRRM4	213
ZNF286A	213
AC005324.3	213
CLK4	213
RBM25	213
SRRM1	213
RBMX2	213
RSRC1	213
PBX1	214
PBX2	214
MSC	214
BRMS1L	214
RIPPLY2	214
HOXA5	214
PPFIBP1	214
ZCWPW2	214
RNF4	215
CCL2	215
NVL	215
ZBTB26	215
ZFP42	215
ZBTB6	215
ZBTB48	215
SPOPL	215
PLEKHB1	216
RAP1GDS1	216
RAP2B	216
DIRAS1	216
RAP2C	216
RRAS	216
DIRAS2	216
HRAS	216
DCDC2	217
COMMD9	217
CENPO	217
SLC38A2	217
DYNC2LI1	217
B3GNT5	217
PTPRCAP	217
ZNF432	217
RYBP	218
TSPYL2	218
XAGE1A	218
XAGE1B	218
NOP53	218
KMT5B	218
RBM15	218
ZNF687	218
ISL1	219
LDB1	219
SSBP4	219
LHX9	219
LMX1B	219
IDI2	219
LHX1	219
ISL2	219
GCSH	220
NMI	220
BRAT1	220
HHLA3	220
SCEL	220
COPS7B	220
TUBA3E	220
THAP8	220
EMP1	221
CORIN	221
TMEM262	221
CD37	221
CD3G	221
TMEM160	221
CCR5	221
TMEM114	221
PER2	222
WWTR1	222
TEAD1	222
TRIM3	222
TRIM2	222
LRRC8E	222
CSNK1E	222
TPTEP2-CSNK1E	222
FAM177A1	223
IER3IP1	223
AC012254.2	223
DPM3	223
TMEM258	223
TMEM167A	223
C19orf18	223
POMK	223
THAP1	224
VCX2	224
STAC3	224
FGF10	224
HMGXB4	224
RPL22	224
FGF11	224
C7orf50	224
LDAF1	225
SLC48A1	225
DCBLD2	225
VSTM1	225
MFSD4B	225
MANSC1	225
PLPP2	225
LAMP1	225
ISCA2	226
CYB5R1	226
ZNF280A	226
RNF41	226
RFC4	226
TTC1	226
ENOPH1	226
SRR	226
TEX33	227
CCHCR1	227
PCM1	227
ZWINT	227
IQCC	227
EXOC1	227
PROSER3	227
BFSP1	227
SFMBT1	228
HPCAL4	228
TRPM5	228
ANKRD33	228
F3	228
TEX13B	228
AQP4	228
FAM131C	228
TBC1D21	229
SIK1B	229
PDCD2	229
SNX4	229
SNX7	229
TIMM10	229
GAS2	229
PMF1-BGLAP	229
ZBED1	230
NCDN	230
PLAAT5	230
TOM1	230
LRRC20	230
MKKS	230
MPST	230
GGACT	230
OLFM4	231
TFR2	231
TNFSF11	231
EREG	231
ITM2C	231
IL11RA	231
CLTRN	231
PVRIG	231
GRAPL	232
GSTZ1	232
TCP11	232
MED28	232
NPFFR1	232
LMBRD1	232
MAP2K1	232
FANCF	232
USP15	233
GEMIN4	233
DDX20	233
PTCD1	233
LY86	233
NPPB	233
S1PR4	233
UFC1	233
TRIM41	234
CSNK2A2	234
ZNF670	234
EZHIP	234
ZNF121	234
ZNF134	234
ZNF251	234
ZNF780A	234
BAD	235
BCL2L2	235
BCL2L1	235
BAK1	235
BCL2A1	235
MCL1	235
BNIP5	235
G0S2	235
TRIP10	236
WASF1	236
SH3BP1	236
ARHGAP12	236
HOXC11	236
ARHGAP17	236
ABL2	236
UTF1	236
MAGEA2B	237
MAGEA2	237
CRCP	237
ACSM1	237
ANKRD45	237
DYNLRB1	237
COX7C	237
COQ4	237
SAAL1	238
ZNF57	238
PRRX1	238
VDR	238
RPS6KC1	238
OTUD4	238
C1orf87	238
ZNF443	238
TSR2	239
TP53INP1	239
GAS2L3	239
DAPL1	239
EXOSC3	239
CMIP	239
GABARAP	239
LAMB2	239
RBM45	240
ALX1	240
